accession,thermal_range,duration(m)
ADI87650,mesophile,0.08033333333333334
WXH46553,mesophile,0.0125
WRQ14408,mesophile,0.012833333333333334
XYW65533,mesophile,0.012333333333333333
SNQ28030,mesophile,0.013000000000000001
A7XXB7,thermophile,0.012833333333333334
QAY18187,thermophile,0.012333333333333333
YP_001285867,thermophile,0.012333333333333333
NP_835731,thermophile,0.012333333333333333
YP_874174,thermophile,0.0115
XJP07760,mesophile,0.012333333333333333
WMT83805,psychrophile,0.013166666666666667
YP_009790355,mesophile,0.012166666666666666
YP_006489335,psychrophile,0.013333333333333334
YP_009209738,mesophile,0.013666666666666666
