accession,thermal_range,duration(m)
ADI87650,mesophile,0.08433333333333333
WXH46553,mesophile,0.015000000000000001
WRQ14408,mesophile,0.016666666666666666
XYW65533,mesophile,0.015166666666666667
SNQ28030,mesophile,0.014833333333333334
NP_049775,mesophile,0.015000000000000001
NP_049787,mesophile,0.013666666666666666
YP_001956829,mesophile,0.015000000000000001
AAC18470,mesophile,0.017666666666666667
NP_046847,mesophile,0.0165
NP_040628,mesophile,0.014
NP_040587,mesophile,0.013666666666666666
NP_042001,mesophile,0.015000000000000001
NP_042005,mesophile,0.013666666666666666
NP_041967,mesophile,0.013666666666666666
NP_049666,mesophile,0.013666666666666666
YP_010085862,mesophile,0.015000000000000001
YP_009168084,mesophile,0.014666666666666666
YP_001956832,mesophile,0.01633333333333333
YP_001956835,mesophile,0.014833333333333334
A7XXB7,thermophile,0.016833333333333332
QAY18187,thermophile,0.015500000000000002
YP_001285867,thermophile,0.015500000000000002
NP_835731,mesophile,0.015000000000000001
YP_874174,thermophile,0.014166666666666666
YP_001468074,thermophile,0.014166666666666666
YP_001468079,thermophile,0.014
YP_001468077,thermophile,0.014166666666666666
YP_001468072,thermophile,0.014
YP_001285862,thermophile,0.015500000000000002
BFP65619,thermophile,0.015666666666666666
YP_001285822,thermophile,0.0145
ABI36835,thermophile,0.014666666666666666
NP_835728,mesophile,0.015333333333333334
NP_835725,mesophile,0.014833333333333334
YP_001210360,thermophile,0.01583333333333333
YP_015542,thermophile,0.014166666666666666
YP_001468067,thermophile,0.014166666666666666
YP_009509140,thermophile,0.014166666666666666
YP_009509134,thermophile,0.0145
XJP07760,mesophile,0.015000000000000001
WMT83805,psychrophile,0.015333333333333334
YP_009790355,mesophile,0.015000000000000001
YP_006489335,mesophile,0.016166666666666666
YP_009209738,mesophile,0.01633333333333333
WMT83702,psychrophile,0.015500000000000002
WMT83700,psychrophile,0.015333333333333334
YP_009790354,mesophile,0.015000000000000001
YP_009790351,mesophile,0.013666666666666666
YP_009790347,mesophile,0.013666666666666666
YP_009790336,mesophile,0.013666666666666666
YP_009008887,mesophile,0.015166666666666667
YP_009008883,mesophile,0.013666666666666666
YP_009008872,mesophile,0.013666666666666666
YP_006489330,mesophile,0.0165
YP_006489329,mesophile,0.015000000000000001
YP_006489332,mesophile,0.015000000000000001
YP_112541,psychrophile,0.015500000000000002
YP_010108907,mesophile,0.017833333333333333
YP_010108902,mesophile,0.016166666666666666
