accession,thermal_range,duration(m)
ADI87650,mesophile,0.07483333333333334
WXH46553,mesophile,0.028333333333333332
WRQ14408,mesophile,0.028666666666666667
XYW65533,mesophile,0.028333333333333332
SNQ28030,mesophile,0.0285
NP_049775,mesophile,0.02733333333333333
NP_049787,mesophile,0.02733333333333333
YP_001956829,mesophile,0.0285
AAC18470,mesophile,0.03116666666666667
NP_046847,mesophile,0.030333333333333334
NP_040628,mesophile,0.026833333333333334
NP_040587,mesophile,0.026333333333333334
NP_042001,mesophile,0.026500000000000003
NP_042005,mesophile,0.026500000000000003
NP_041967,mesophile,0.026500000000000003
NP_049666,mesophile,0.027000000000000003
YP_010085862,mesophile,0.025333333333333333
YP_009168084,mesophile,0.0285
YP_001956832,mesophile,0.030166666666666668
YP_001956835,mesophile,0.030166666666666668
A7XXB7,thermophile,0.030333333333333334
QAY18187,thermophile,0.02733333333333333
YP_001285867,thermophile,0.027166666666666665
NP_835731,thermophile,0.028666666666666667
YP_874174,thermophile,0.028
YP_001468074,thermophile,0.02783333333333333
YP_001468079,thermophile,0.028
YP_001468077,thermophile,0.02783333333333333
YP_001468072,thermophile,0.028166666666666666
YP_001285862,thermophile,0.028
BFP65619,thermophile,0.029
YP_001285822,thermophile,0.028
ABI36835,thermophile,0.028
NP_835728,thermophile,0.029
NP_835725,thermophile,0.029166666666666667
YP_001210360,thermophile,0.029333333333333333
YP_015542,thermophile,0.028
YP_001468067,thermophile,0.02733333333333333
YP_009509140,thermophile,0.02733333333333333
YP_009509134,thermophile,0.028166666666666666
XJP07760,mesophile,0.02783333333333333
WMT83805,psychrophile,0.029
YP_009790355,mesophile,0.027666666666666666
YP_006489335,psychrophile,0.030833333333333334
YP_009209738,psychrophile,0.03066666666666667
WMT83702,psychrophile,0.029333333333333333
WMT83700,psychrophile,0.029166666666666667
YP_009790354,mesophile,0.0285
YP_009790351,mesophile,0.028333333333333332
YP_009790347,mesophile,0.028333333333333332
YP_009790336,mesophile,0.0285
YP_009008887,mesophile,0.027666666666666666
YP_009008883,mesophile,0.027666666666666666
YP_009008872,mesophile,0.028166666666666666
YP_006489330,psychrophile,0.03066666666666667
YP_006489329,psychrophile,0.03066666666666667
YP_006489332,psychrophile,0.030833333333333334
YP_112541,psychrophile,0.02783333333333333
YP_010108907,mesophile,0.03133333333333333
YP_010108902,mesophile,0.0315
